CA_COUNTY,D_YEAR,WEB_Q1_Q2_INCREASE,STORE_Q1_Q2_INCREASE,WEB_Q2_Q3_INCREASE,STORE_Q2_Q3_INCREASE
Payne County,2001,1.01100125,0.95075930,1.86319152,1.85979034
Real County,2001,0.98394590,0.98159978,1.86339166,1.84951395
Perry County,2001,0.97862032,0.97838238,1.86366728,1.86006186
Caldwell Parish,2001,1.02151657,0.96717244,1.86379615,1.84610791
Izard County,2001,1.01564684,1.01464581,1.86392403,1.81941097
Potter County,2001,0.98787872,0.97371396,1.86445597,1.85596133
Hays County,2001,0.99755089,0.97521983,1.86451923,1.84973105
Wadena County,2001,0.99665218,0.97740217,1.86460211,1.85957236
Johnson County,2001,0.98129629,0.97939349,1.86469584,1.86455711
Freeborn County,2001,0.99007242,0.97152450,1.86472509,1.81560643
New Castle County,2001,0.95263186,0.94828917,1.86493456,1.86481099
Crook County,2001,0.98622058,0.98059255,1.86535146,1.84973904
Dallas County,2001,0.98489324,0.97485055,1.86550896,1.84910325
Reynolds County,2001,0.97916979,0.97468427,1.86558830,1.85771076
Schleicher County,2001,1.01886270,1.00594929,1.86569341,1.83918054
Franklin Parish,2001,0.97555436,0.96607658,1.86589355,1.83871908
Sanborn County,2001,0.98056366,0.97326874,1.86597629,1.81691579
Adair County,2001,0.99123264,0.97870572,1.86609542,1.86046976
Salt Lake County,2001,1.01420508,0.95742360,1.86625234,1.86321111
Morgan County,2001,0.98351675,0.98112718,1.86650932,1.85969296
Terry County,2001,0.99661044,0.98630821,1.86679882,1.85753699
Daniels County,2001,0.98487304,0.96643329,1.86690589,1.83088834
Schuyler County,2001,0.96895133,0.96701337,1.86699071,1.86372776
Cumberland County,2001,0.98426876,0.98094656,1.86708761,1.84625485
Houghton County,2001,1.01082662,1.00599428,1.86717076,1.83510418
Deschutes County,2001,0.98884640,0.97549106,1.86746419,1.86308329
Deaf Smith County,2001,0.96721481,0.95160883,1.86755332,1.84503650
Chattahoochee County,2001,0.98493934,0.98158898,1.86764424,1.83551226
Hardeman County,2001,0.98314152,0.97515203,1.86766577,1.86549503
Richardson County,2001,0.99285609,0.95380856,1.86801380,1.83842842
Portage County,2001,0.98649547,0.96674369,1.86808081,1.86130937
Hendry County,2001,0.99173514,0.98326560,1.86820868,1.86465248
Atchison County,2001,0.98822734,0.97411032,1.86827293,1.86136585
Dillon County,2001,0.98474243,0.97828652,1.86828255,1.82844630
Charleston County,2001,1.01115986,0.98405015,1.86845041,1.82195897
Hutchinson County,2001,0.97800410,0.95743096,1.86848124,1.86010276
Tuscarawas County,2001,0.99724265,0.97727913,1.86915485,1.85660266
Brazos County,2001,0.96571545,0.96393418,1.86928361,1.86322989
Delta County,2001,0.98534635,0.97837838,1.86945957,1.85350959
Jenkins County,2001,0.98471414,0.97867741,1.87005081,1.85632336
Queen Anne County,2001,0.99867593,0.96671187,1.87017113,1.86043079
Modoc County,2001,0.97983882,0.97667523,1.87019432,1.86737108
Cache County,2001,0.98137883,0.95458795,1.87029504,1.86412248
Shawnee County,2001,0.97814089,0.97158520,1.87040003,1.81091898
Glascock County,2001,1.00679987,0.99139817,1.87073904,1.85965133
Ottawa County,2001,0.99057541,0.98596079,1.87076928,1.84216258
Burleigh County,2001,0.96499767,0.95954570,1.87083264,1.83446069
Milam County,2001,0.98624834,0.98413773,1.87105460,1.84484883
Yellowstone County,2001,0.98854566,0.98651260,1.87111792,1.86792759
Grant Parish,2001,0.98344709,0.96242256,1.87158209,1.79231200
Le Flore County,2001,1.00061091,0.99623496,1.87171522,1.75059738
Swift County,2001,0.97020874,0.96867960,1.87194387,1.86801342
Piscataquis County,2001,0.97991720,0.96435114,1.87213540,1.86437868
Russell County,2001,0.98986258,0.97938403,1.87221991,1.84733714
Clallam County,2001,0.99028606,0.97014246,1.87236604,1.83366126
Hudspeth County,2001,1.00627706,0.97669229,1.87249893,1.84402690
Trumbull County,2001,0.98154592,0.97511974,1.87256001,1.84990723
Oconto County,2001,1.01201672,1.00148111,1.87279049,1.83235788
Frontier County,2001,1.01000625,0.98271782,1.87286541,1.84066044
Reeves County,2001,0.98847209,0.97379623,1.87346264,1.84047118
Tioga County,2001,0.99059128,0.97567728,1.87391526,1.81662512
Grand Isle County,2001,0.97978908,0.96611952,1.87391853,1.86297957
Lycoming County,2001,0.97995898,0.96750302,1.87434864,1.85162075
Williamson County,2001,0.99555597,0.96198986,1.87435173,1.86877264
Levy County,2001,0.97505520,0.95131033,1.87452989,1.86123065
Fredericksburg city,2001,1.00632564,0.97971618,1.87476154,1.81871191
Fauquier County,2001,0.97183093,0.96407751,1.87480544,1.85204748
Wallace County,2001,1.00007793,0.98108838,1.87530739,1.84103826
Crenshaw County,2001,0.99493935,0.98309695,1.87569612,1.85573246
Hinsdale County,2001,1.00852518,1.00196318,1.87572058,1.85467273
Davis County,2001,0.98555714,0.98276085,1.87614258,1.84441346
Tarrant County,2001,0.96564196,0.96495556,1.87625741,1.85789449
McClain County,2001,1.00408527,0.93933573,1.87646754,1.86773960
Fall River County,2001,0.99224798,0.96335095,1.87719406,1.86514109
Hart County,2001,1.00191951,0.96873790,1.87732270,1.87129979
Mahoning County,2001,0.98472078,0.96987980,1.87741243,1.84780580
Dyer County,2001,0.99937444,0.94248885,1.87776211,1.87676959
Wythe County,2001,0.97177839,0.95991770,1.87790176,1.84051801
Lonoke County,2001,0.96773024,0.95656809,1.87791840,1.83220332
Ashley County,2001,0.99269761,0.97784414,1.87797990,1.83577119
Nance County,2001,0.98771196,0.96621322,1.87853516,1.86372301
De Kalb County,2001,0.98622589,0.96704054,1.87977891,1.85482669
Kittitas County,2001,1.00716721,0.99787143,1.88009085,1.80338649
Bossier Parish,2001,1.00534277,0.97847071,1.88078252,1.86076253
Oswego County,2001,0.98912736,0.95969706,1.88103908,1.86255510
Callahan County,2001,0.99518319,0.99078761,1.88264733,1.85430879
Passaic County,2001,0.95075517,0.91710518,1.88267349,1.86621907
Iberia Parish,2001,1.00356697,0.96380499,1.88284530,1.86959626
Lac qui Parle County,2001,0.99798212,0.95473100,1.88297034,1.84019607
Barrow County,2001,0.96140946,0.95602821,1.88318906,1.87463722
Wagoner County,2001,0.96986598,0.95120824,1.88348265,1.84476999
Lexington County,2001,0.97988449,0.96854788,1.88355695,1.81942306
Ozaukee County,2001,0.97416365,0.97103691,1.88387927,1.86777090
Pettis County,2001,0.99759798,0.98499393,1.88420222,1.82030060
Shiawassee County,2001,1.00385696,0.99740522,1.88432023,1.79453090
Ramsey County,2001,0.99518714,0.98635041,1.88446282,1.81025755
Jersey County,2001,0.96541908,0.95811154,1.88553452,1.86875975
Roane County,2001,0.98385221,0.97565212,1.88628905,1.85691968
Tate County,2001,0.98690773,0.97234995,1.88664221,1.86828814
Goodhue County,2001,0.98424662,0.96381711,1.88671996,1.85954570
Poquoson city,2001,1.01314157,0.99641569,1.88718125,1.83632339
Monterey County,2001,0.96322572,0.95258117,1.88720331,1.87915991
Weston County,2001,1.01998459,0.98426948,1.88770342,1.85370815
Jefferson Davis Parish,2001,0.97349197,0.96729723,1.88785929,1.87941396
Dillingham Census Area,2001,0.98945007,0.97152469,1.88786319,1.87013975
Yalobusha County,2001,0.98204180,0.97854396,1.88791618,1.79018386
Hampden County,2001,1.00260543,0.97085818,1.88922279,1.81938425
Bosque County,2001,0.99044785,0.97824617,1.89023502,1.80248091
Forrest County,2001,1.01032928,0.99871886,1.89042725,1.84726283
Kosciusko County,2001,0.97699127,0.97268499,1.89074165,1.87895812
Dubois County,2001,0.99072066,0.98296104,1.89136868,1.85459272
Covington city,2001,0.96624441,0.96086781,1.89147348,1.87631333
Kenai Peninsula Borough,2001,0.96586926,0.94428307,1.89224338,1.86842553
Switzerland County,2001,0.97487802,0.96548341,1.89228583,1.85871299
Harney County,2001,0.99885792,0.99381751,1.89266509,1.88476518
Suffolk County,2001,0.98141622,0.96693047,1.89273727,1.87182101
Pasco County,2001,0.98642855,0.96759692,1.89414690,1.87440144
Glades County,2001,0.97602912,0.96011682,1.89500139,1.86426763
Bullitt County,2001,0.96913390,0.96352124,1.89518561,1.87509590
Hernando County,2001,0.97917213,0.94062923,1.89564950,1.89341112
Venango County,2001,0.97971181,0.97523633,1.89632556,1.88432963
Danville city,2001,0.96827612,0.96822969,1.89708112,1.86519152
Drew County,2001,0.97404262,0.94558007,1.89731486,1.88515159
Berkeley County,2001,0.98761259,0.97947672,1.89770514,1.88043924
Hitchcock County,2001,0.98596892,0.98448958,1.89896359,1.85660970
Multnomah County,2001,0.98253232,0.97644417,1.89980413,1.81667813
Baca County,2001,0.97570106,0.96117338,1.89981891,1.89242861
Prince William County,2001,0.99924040,0.98051933,1.90233561,1.85764595
Yoakum County,2001,0.95097523,0.95002820,1.90274026,1.88673993
Cullman County,2001,0.99459149,0.98833118,1.90463930,1.86311897
Mathews County,2001,0.98061168,0.95101788,1.90533885,1.86298986
De Witt County,2001,0.97053672,0.96738201,1.90543072,1.86389055
Bledsoe County,2001,0.97862312,0.96000050,1.90546150,1.88901705
Cocke County,2001,1.02189512,0.98385478,1.90586081,1.88338910
Umatilla County,2001,0.95359276,0.94089402,1.90894184,1.89669011
Washita County,2001,0.98421865,0.96796913,1.91105653,1.88240071
Gonzales County,2001,0.97754630,0.96027457,1.91438526,1.84483311
Cochran County,2001,0.99575096,0.98619258,1.91700445,1.85388354
Gwinnett County,2001,0.97893455,0.97796699,1.91916488,1.84486260
Converse County,2001,0.96648311,0.95650373,1.92049482,1.90400234
Bamberg County,2001,0.98443607,0.97927215,1.92620310,1.87798723
Mora County,2001,0.96807832,0.95770227,1.94086514,1.91538407
