CHANNEL,ID,SALES,RETURNS,PROFIT
catalog channel,catalog_pageAAAAAAAAAEBAAAAA,0.00,13308532.38,-7678702.81
catalog channel,catalog_pageAAAAAAAAAECAAAAA,530610800.38,4779932.19,-56862924.20
catalog channel,catalog_pageAAAAAAAAAEDAAAAA,262623440.07,1513317.64,-27402067.08
catalog channel,catalog_pageAAAAAAAAAEEAAAAA,266192783.34,1524715.22,-27397504.01
catalog channel,catalog_pageAAAAAAAAAEFAAAAA,0.00,1032427.94,-625924.73
catalog channel,catalog_pageAAAAAAAAAEGAAAAA,0.00,1047729.44,-590412.21
catalog channel,catalog_pageAAAAAAAAAEHAAAAA,0.00,646462.73,-412285.58
catalog channel,catalog_pageAAAAAAAAAEIAAAAA,0.00,710649.35,-413626.36
catalog channel,catalog_pageAAAAAAAAAEJAAAAA,0.00,359759.50,-209390.80
catalog channel,catalog_pageAAAAAAAAAEKAAAAA,265845225.76,105088.02,-27294921.47
catalog channel,catalog_pageAAAAAAAAAELAAAAA,266044959.64,112710.75,-27234487.56
catalog channel,catalog_pageAAAAAAAAAFAAAAAA,0.00,13112081.08,-7738636.39
catalog channel,catalog_pageAAAAAAAAAFBAAAAA,0.00,13408811.57,-7800114.25
catalog channel,catalog_pageAAAAAAAAAFCAAAAA,533457013.74,4541638.61,-55168156.88
catalog channel,catalog_pageAAAAAAAAAFDAAAAA,266045717.39,1555708.31,-27715527.83
catalog channel,catalog_pageAAAAAAAAAFEAAAAA,268638238.23,1412588.97,-27353499.00
catalog channel,catalog_pageAAAAAAAAAFFAAAAA,0.00,1044100.92,-621594.88
catalog channel,catalog_pageAAAAAAAAAFGAAAAA,0.00,1163296.20,-645054.57
catalog channel,catalog_pageAAAAAAAAAFHAAAAA,0.00,753193.90,-434252.99
catalog channel,catalog_pageAAAAAAAAAFIAAAAA,0.00,689339.51,-407455.24
catalog channel,catalog_pageAAAAAAAAAFJAAAAA,0.00,355262.88,-209385.99
catalog channel,catalog_pageAAAAAAAAAFKAAAAA,264746676.75,109784.82,-25887651.84
catalog channel,catalog_pageAAAAAAAAAFLAAAAA,265547859.17,68894.03,-27350985.61
catalog channel,catalog_pageAAAAAAAAAGAAAAAA,0.00,13371829.89,-7761570.48
catalog channel,catalog_pageAAAAAAAAAGBAAAAA,0.00,12965735.49,-7735243.36
catalog channel,catalog_pageAAAAAAAAAGCAAAAA,533305067.90,4500374.80,-54246987.55
catalog channel,catalog_pageAAAAAAAAAGDAAAAA,265303425.28,1664050.69,-28405030.14
catalog channel,catalog_pageAAAAAAAAAGEAAAAA,0.00,1060308.37,-608619.66
catalog channel,catalog_pageAAAAAAAAAGFAAAAA,0.00,1080082.67,-614333.06
catalog channel,catalog_pageAAAAAAAAAGGAAAAA,0.00,989482.76,-555007.18
catalog channel,catalog_pageAAAAAAAAAGHAAAAA,0.00,763651.78,-443901.16
catalog channel,catalog_pageAAAAAAAAAGIAAAAA,0.00,699813.98,-398222.71
catalog channel,catalog_pageAAAAAAAAAGJAAAAA,0.00,340482.44,-181280.89
catalog channel,catalog_pageAAAAAAAAAGKAAAAA,267232229.84,116163.80,-25572843.31
catalog channel,catalog_pageAAAAAAAAAGLAAAAA,265141489.30,71942.15,-25565908.69
catalog channel,catalog_pageAAAAAAAAAHAAAAAA,0.00,13255028.52,-7721442.20
catalog channel,catalog_pageAAAAAAAAAHBAAAAA,0.00,13905756.98,-8048008.03
catalog channel,catalog_pageAAAAAAAAAHCAAAAA,529341223.12,4600305.50,-57199115.36
catalog channel,catalog_pageAAAAAAAAAHDAAAAA,265543369.54,1624068.19,-27100451.37
catalog channel,catalog_pageAAAAAAAAAHEAAAAA,0.00,1031580.86,-615532.53
catalog channel,catalog_pageAAAAAAAAAHFAAAAA,0.00,1136716.74,-687077.18
catalog channel,catalog_pageAAAAAAAAAHGAAAAA,0.00,1035279.43,-611577.53
catalog channel,catalog_pageAAAAAAAAAHHAAAAA,0.00,613625.59,-388451.50
catalog channel,catalog_pageAAAAAAAAAHIAAAAA,0.00,677880.43,-392016.74
catalog channel,catalog_pageAAAAAAAAAHJAAAAA,0.00,289221.08,-176393.69
catalog channel,catalog_pageAAAAAAAAAHKAAAAA,266609273.29,60129.59,-27106338.01
catalog channel,catalog_pageAAAAAAAAAHLAAAAA,266449569.00,96046.94,-26233585.49
catalog channel,catalog_pageAAAAAAAAAIAAAAAA,0.00,13119026.97,-7781113.37
catalog channel,catalog_pageAAAAAAAAAIBAAAAA,533021671.34,4501719.38,-57592947.94
catalog channel,catalog_pageAAAAAAAAAICAAAAA,530291213.01,4587579.52,-56034711.55
catalog channel,catalog_pageAAAAAAAAAIDAAAAA,266404866.01,1500019.17,-27544357.87
catalog channel,catalog_pageAAAAAAAAAIEAAAAA,0.00,986750.09,-599644.77
catalog channel,catalog_pageAAAAAAAAAIFAAAAA,0.00,1008757.06,-572534.20
catalog channel,catalog_pageAAAAAAAAAIGAAAAA,0.00,932891.16,-531286.66
catalog channel,catalog_pageAAAAAAAAAIHAAAAA,0.00,601894.27,-382882.94
catalog channel,catalog_pageAAAAAAAAAIIAAAAA,0.00,678434.64,-363249.37
catalog channel,catalog_pageAAAAAAAAAIJAAAAA,0.00,321102.44,-191191.56
catalog channel,catalog_pageAAAAAAAAAIKAAAAA,265259968.63,126178.99,-24966579.40
catalog channel,catalog_pageAAAAAAAAAILAAAAA,266394026.41,64918.00,-27383630.99
catalog channel,catalog_pageAAAAAAAAAJAAAAAA,0.00,13345472.29,-7979449.54
catalog channel,catalog_pageAAAAAAAAAJBAAAAA,535107998.76,4446329.80,-55709936.94
catalog channel,catalog_pageAAAAAAAAAJCAAAAA,530891325.57,4946043.07,-56520575.63
catalog channel,catalog_pageAAAAAAAAAJDAAAAA,262987967.53,1581423.08,-27798202.74
catalog channel,catalog_pageAAAAAAAAAJEAAAAA,0.00,1186231.12,-694987.79
catalog channel,catalog_pageAAAAAAAAAJFAAAAA,0.00,947639.09,-537584.17
catalog channel,catalog_pageAAAAAAAAAJGAAAAA,0.00,892692.27,-555944.90
catalog channel,catalog_pageAAAAAAAAAJHAAAAA,0.00,765543.21,-426572.92
catalog channel,catalog_pageAAAAAAAAAJIAAAAA,0.00,721593.81,-411052.23
catalog channel,catalog_pageAAAAAAAAAJJAAAAA,0.00,379267.95,-218723.11
catalog channel,catalog_pageAAAAAAAAAJKAAAAA,265271683.12,79222.25,-27305345.97
catalog channel,catalog_pageAAAAAAAAAJLAAAAA,266159685.62,93964.91,-26774392.70
catalog channel,catalog_pageAAAAAAAAAKAAAAAA,0.00,13313922.58,-7701128.24
catalog channel,catalog_pageAAAAAAAAAKBAAAAA,533825939.70,4435512.38,-55271578.16
catalog channel,catalog_pageAAAAAAAAAKCAAAAA,530548187.76,4662644.37,-57166090.14
catalog channel,catalog_pageAAAAAAAAAKDAAAAA,265801050.12,1482574.20,-29051735.72
catalog channel,catalog_pageAAAAAAAAAKEAAAAA,0.00,1067688.62,-545853.42
catalog channel,catalog_pageAAAAAAAAAKFAAAAA,0.00,1065723.19,-592777.18
catalog channel,catalog_pageAAAAAAAAAKGAAAAA,0.00,1046217.92,-592768.49
catalog channel,catalog_pageAAAAAAAAAKHAAAAA,0.00,634300.87,-383494.18
catalog channel,catalog_pageAAAAAAAAAKIAAAAA,0.00,778108.17,-466975.91
catalog channel,catalog_pageAAAAAAAAAKJAAAAA,0.00,310063.53,-184920.65
catalog channel,catalog_pageAAAAAAAAAKKAAAAA,265568119.66,91005.93,-27001639.23
catalog channel,catalog_pageAAAAAAAAALAAAAAA,0.00,13489002.50,-7949209.68
catalog channel,catalog_pageAAAAAAAAALBAAAAA,530774732.49,4535900.02,-55762216.26
catalog channel,catalog_pageAAAAAAAAALCAAAAA,532202617.55,4611292.86,-55941629.06
catalog channel,catalog_pageAAAAAAAAALDAAAAA,264302826.45,1514295.21,-27664311.28
catalog channel,catalog_pageAAAAAAAAALEAAAAA,0.00,953153.96,-575541.46
catalog channel,catalog_pageAAAAAAAAALFAAAAA,0.00,968653.33,-577246.86
catalog channel,catalog_pageAAAAAAAAALGAAAAA,0.00,962912.60,-532342.85
catalog channel,catalog_pageAAAAAAAAALHAAAAA,0.00,695757.30,-412561.04
catalog channel,catalog_pageAAAAAAAAALIAAAAA,0.00,370445.65,-206526.08
catalog channel,catalog_pageAAAAAAAAALJAAAAA,0.00,353923.83,-193733.86
catalog channel,catalog_pageAAAAAAAAALKAAAAA,266402455.45,79293.32,-26704579.77
catalog channel,catalog_pageAAAAAAAAAMAAAAAA,0.00,13346932.88,-7860726.30
catalog channel,catalog_pageAAAAAAAAAMBAAAAA,532418813.76,4525252.67,-55556396.60
catalog channel,catalog_pageAAAAAAAAAMCAAAAA,531686948.28,4386871.73,-54707942.48
catalog channel,catalog_pageAAAAAAAAAMDAAAAA,266958160.12,1541348.16,-27718079.17
catalog channel,catalog_pageAAAAAAAAAMEAAAAA,0.00,1068237.13,-583690.66
catalog channel,catalog_pageAAAAAAAAAMFAAAAA,0.00,941294.53,-549250.32
catalog channel,catalog_pageAAAAAAAAAMGAAAAA,0.00,1018537.56,-568594.23
catalog channel,catalog_pageAAAAAAAAAMHAAAAA,0.00,596808.02,-361163.05
catalog channel,catalog_pageAAAAAAAAAMIAAAAA,0.00,340260.39,-200173.07
catalog channel,catalog_pageAAAAAAAAAMJAAAAA,0.00,379911.34,-229730.79
catalog channel,catalog_pageAAAAAAAAAMKAAAAA,266415997.99,93027.67,-26099315.51
catalog channel,catalog_pageAAAAAAAAANAAAAAA,0.00,13559787.13,-7851956.54
catalog channel,catalog_pageAAAAAAAAANBAAAAA,532136884.12,4689763.11,-54555109.75
catalog channel,catalog_pageAAAAAAAAANCAAAAA,534414257.84,4507112.06,-56399709.25
catalog channel,catalog_pageAAAAAAAAANDAAAAA,265378882.15,1548861.57,-27141617.68
catalog channel,catalog_pageAAAAAAAAANEAAAAA,0.00,1020877.04,-564135.51
catalog channel,catalog_pageAAAAAAAAANFAAAAA,0.00,931296.99,-558382.46
catalog channel,catalog_pageAAAAAAAAANGAAAAA,0.00,882022.93,-545704.99
catalog channel,catalog_pageAAAAAAAAANHAAAAA,0.00,692766.46,-433990.74
catalog channel,catalog_pageAAAAAAAAANIAAAAA,0.00,380241.79,-223355.24
catalog channel,catalog_pageAAAAAAAAANJAAAAA,0.00,435964.53,-239104.16
catalog channel,catalog_pageAAAAAAAAANKAAAAA,263849842.66,69876.77,-26927992.46
catalog channel,catalog_pageAAAAAAAAAOAAAAAA,0.00,13589930.13,-7877173.35
catalog channel,catalog_pageAAAAAAAAAOBAAAAA,530784330.22,4471757.02,-55712704.65
catalog channel,catalog_pageAAAAAAAAAOCAAAAA,531310722.91,4494447.55,-57972509.35
catalog channel,catalog_pageAAAAAAAAAODAAAAA,266490392.71,1409531.75,-28054324.44
catalog channel,catalog_pageAAAAAAAAAOEAAAAA,0.00,996430.89,-557694.79
catalog channel,catalog_pageAAAAAAAAAOFAAAAA,0.00,1004180.86,-590093.94
catalog channel,catalog_pageAAAAAAAAAOGAAAAA,0.00,987648.72,-546081.15
catalog channel,catalog_pageAAAAAAAAAOHAAAAA,0.00,651757.65,-380311.55
catalog channel,catalog_pageAAAAAAAAAOIAAAAA,0.00,378191.15,-198003.60
catalog channel,catalog_pageAAAAAAAAAOJAAAAA,0.00,390960.80,-241180.11
catalog channel,catalog_pageAAAAAAAAAOKAAAAA,265313945.32,57134.44,-26808742.73
catalog channel,catalog_pageAAAAAAAAAPAAAAAA,0.00,13326307.58,-7797268.99
catalog channel,catalog_pageAAAAAAAAAPBAAAAA,531276664.07,4217261.02,-56097557.78
catalog channel,catalog_pageAAAAAAAAAPCAAAAA,268155501.13,1642986.58,-26403212.03
catalog channel,catalog_pageAAAAAAAAAPDAAAAA,266452697.17,1559198.62,-26505691.85
catalog channel,catalog_pageAAAAAAAAAPEAAAAA,0.00,1015974.96,-597362.12
catalog channel,catalog_pageAAAAAAAAAPFAAAAA,0.00,935571.49,-547788.61
catalog channel,catalog_pageAAAAAAAAAPGAAAAA,0.00,948522.65,-551317.91
catalog channel,catalog_pageAAAAAAAAAPHAAAAA,0.00,673304.94,-395559.99
catalog channel,catalog_pageAAAAAAAAAPIAAAAA,0.00,413820.91,-211183.02
catalog channel,catalog_pageAAAAAAAAAPJAAAAA,0.00,446104.46,-265582.61
catalog channel,catalog_pageAAAAAAAAAPKAAAAA,265810918.26,94654.04,-25584820.17
catalog channel,catalog_pageAAAAAAAABAAAAAAA,0.00,13809163.15,-8084721.02
catalog channel,catalog_pageAAAAAAAABABAAAAA,0.00,13060523.52,-7577883.54
catalog channel,catalog_pageAAAAAAAABACAAAAA,530982803.86,4648035.14,-56747519.48
catalog channel,catalog_pageAAAAAAAABADAAAAA,265018995.60,1553511.20,-27342080.68
catalog channel,catalog_pageAAAAAAAABAEAAAAA,264940887.84,1530210.56,-27858102.68
catalog channel,catalog_pageAAAAAAAABAFAAAAA,0.00,963894.96,-553572.98
catalog channel,catalog_pageAAAAAAAABAGAAAAA,0.00,1039265.08,-597300.82
catalog channel,catalog_pageAAAAAAAABAHAAAAA,0.00,920090.06,-576556.34
catalog channel,catalog_pageAAAAAAAABAIAAAAA,0.00,698801.45,-396730.58
catalog channel,catalog_pageAAAAAAAABAJAAAAA,0.00,376919.90,-218811.41
catalog channel,catalog_pageAAAAAAAABAKAAAAA,0.00,396051.42,-227085.85
catalog channel,catalog_pageAAAAAAAABALAAAAA,265156778.30,110946.96,-26734104.54
catalog channel,catalog_pageAAAAAAAABBAAAAAA,0.00,13480391.58,-7814147.31
catalog channel,catalog_pageAAAAAAAABBBAAAAA,0.00,13445509.06,-7808202.91
catalog channel,catalog_pageAAAAAAAABBCAAAAA,528537269.81,4458664.38,-55726483.01
catalog channel,catalog_pageAAAAAAAABBDAAAAA,267598270.36,1621862.19,-27037651.91
catalog channel,catalog_pageAAAAAAAABBEAAAAA,266331300.75,1419921.59,-26570544.44
catalog channel,catalog_pageAAAAAAAABBFAAAAA,0.00,944853.09,-555975.19
catalog channel,catalog_pageAAAAAAAABBGAAAAA,0.00,898560.68,-557669.90
catalog channel,catalog_pageAAAAAAAABBHAAAAA,0.00,931805.69,-530257.55
catalog channel,catalog_pageAAAAAAAABBIAAAAA,0.00,786977.39,-455314.31
catalog channel,catalog_pageAAAAAAAABBJAAAAA,0.00,340399.54,-208157.44
catalog channel,catalog_pageAAAAAAAABBKAAAAA,0.00,419755.75,-228467.69
catalog channel,catalog_pageAAAAAAAABBLAAAAA,265303759.18,88903.73,-26862834.17
catalog channel,catalog_pageAAAAAAAABCAAAAAA,0.00,12964483.90,-7463643.13
catalog channel,catalog_pageAAAAAAAABCBAAAAA,0.00,13027631.76,-7583352.41
catalog channel,catalog_pageAAAAAAAABCCAAAAA,530768853.18,4648811.07,-54601638.92
catalog channel,catalog_pageAAAAAAAABCDAAAAA,264179584.80,1628113.21,-28243536.59
catalog channel,catalog_pageAAAAAAAABCEAAAAA,267689489.94,1473007.73,-26308982.67
catalog channel,catalog_pageAAAAAAAABCFAAAAA,0.00,1079274.88,-633180.85
catalog channel,catalog_pageAAAAAAAABCGAAAAA,0.00,941004.03,-553470.02
catalog channel,catalog_pageAAAAAAAABCHAAAAA,0.00,1048173.73,-604618.23
catalog channel,catalog_pageAAAAAAAABCIAAAAA,0.00,685495.31,-412975.31
catalog channel,catalog_pageAAAAAAAABCJAAAAA,0.00,316765.16,-208521.81
catalog channel,catalog_pageAAAAAAAABCKAAAAA,265111638.23,96404.09,-26318922.95
catalog channel,catalog_pageAAAAAAAABCLAAAAA,265473478.53,58197.36,-27099952.28
catalog channel,catalog_pageAAAAAAAABDAAAAAA,0.00,13590334.31,-7878476.52
catalog channel,catalog_pageAAAAAAAABDBAAAAA,0.00,13251807.95,-7896563.51
catalog channel,catalog_pageAAAAAAAABDCAAAAA,531697745.57,4722352.56,-56382187.29
catalog channel,catalog_pageAAAAAAAABDDAAAAA,265432309.83,1552515.73,-28196989.26
catalog channel,catalog_pageAAAAAAAABDEAAAAA,266297533.35,1520482.79,-26867774.33
catalog channel,catalog_pageAAAAAAAABDFAAAAA,0.00,1058964.73,-623617.72
catalog channel,catalog_pageAAAAAAAABDGAAAAA,0.00,1024189.41,-604336.74
catalog channel,catalog_pageAAAAAAAABDHAAAAA,0.00,981170.48,-602365.80
catalog channel,catalog_pageAAAAAAAABDIAAAAA,0.00,719160.12,-404462.40
catalog channel,catalog_pageAAAAAAAABDJAAAAA,0.00,338440.55,-205838.78
catalog channel,catalog_pageAAAAAAAABDKAAAAA,264908291.85,91774.98,-27672391.07
catalog channel,catalog_pageAAAAAAAABDLAAAAA,267138422.92,83405.39,-25697259.60
catalog channel,catalog_pageAAAAAAAABEAAAAAA,0.00,13345841.59,-7733168.39
catalog channel,catalog_pageAAAAAAAABEBAAAAA,0.00,13276514.23,-7635714.27
catalog channel,catalog_pageAAAAAAAABECAAAAA,533844106.37,4814307.45,-55419065.04
catalog channel,catalog_pageAAAAAAAABEDAAAAA,267626737.56,1400094.32,-26619647.46
catalog channel,catalog_pageAAAAAAAABEEAAAAA,265468047.27,1482781.74,-27822800.93
catalog channel,catalog_pageAAAAAAAABEFAAAAA,0.00,1017372.78,-582860.75
catalog channel,catalog_pageAAAAAAAABEGAAAAA,0.00,906613.16,-553377.65
catalog channel,catalog_pageAAAAAAAABEHAAAAA,0.00,624916.48,-350617.21
catalog channel,catalog_pageAAAAAAAABEIAAAAA,0.00,776715.70,-420543.68
catalog channel,catalog_pageAAAAAAAABEJAAAAA,0.00,355262.04,-196589.42
catalog channel,catalog_pageAAAAAAAABEKAAAAA,269285503.85,74045.63,-26056200.80
catalog channel,catalog_pageAAAAAAAABELAAAAA,265296634.02,109841.18,-28104029.95
catalog channel,catalog_pageAAAAAAAABFAAAAAA,0.00,13659660.18,-8028106.43
catalog channel,catalog_pageAAAAAAAABFBAAAAA,0.00,13639712.43,-7917499.01
catalog channel,catalog_pageAAAAAAAABFCAAAAA,531453658.87,4453645.75,-56443646.45
catalog channel,catalog_pageAAAAAAAABFDAAAAA,265522795.40,1468426.76,-27664834.48
catalog channel,catalog_pageAAAAAAAABFEAAAAA,266070858.97,1654194.12,-27521502.19
catalog channel,catalog_pageAAAAAAAABFFAAAAA,0.00,1051016.36,-613252.68
catalog channel,catalog_pageAAAAAAAABFGAAAAA,0.00,1032461.04,-628827.44
catalog channel,catalog_pageAAAAAAAABFHAAAAA,0.00,626559.27,-393446.11
catalog channel,catalog_pageAAAAAAAABFIAAAAA,0.00,705344.34,-394668.78
catalog channel,catalog_pageAAAAAAAABFJAAAAA,0.00,381590.73,-216529.74
catalog channel,catalog_pageAAAAAAAABFKAAAAA,268630813.55,61233.20,-26407262.22
catalog channel,catalog_pageAAAAAAAABFLAAAAA,266582022.07,72945.36,-25632212.77
catalog channel,catalog_pageAAAAAAAABGAAAAAA,0.00,13020449.17,-7788125.00
catalog channel,catalog_pageAAAAAAAABGBAAAAA,0.00,13626144.36,-8004123.52
catalog channel,catalog_pageAAAAAAAABGCAAAAA,531649963.42,4757334.47,-57123285.45
catalog channel,catalog_pageAAAAAAAABGDAAAAA,264710612.04,1505051.54,-27501971.23
catalog channel,catalog_pageAAAAAAAABGEAAAAA,0.00,990771.15,-597793.26
catalog channel,catalog_pageAAAAAAAABGFAAAAA,0.00,1096918.44,-628954.64
catalog channel,catalog_pageAAAAAAAABGGAAAAA,0.00,988033.86,-592187.16
catalog channel,catalog_pageAAAAAAAABGHAAAAA,0.00,654246.67,-355440.55
catalog channel,catalog_pageAAAAAAAABGIAAAAA,0.00,699846.31,-396489.85
catalog channel,catalog_pageAAAAAAAABGJAAAAA,0.00,296847.38,-192360.29
catalog channel,catalog_pageAAAAAAAABGKAAAAA,266433670.67,150947.14,-27586804.34
catalog channel,catalog_pageAAAAAAAABGLAAAAA,266001219.89,71805.91,-26750531.82
catalog channel,catalog_pageAAAAAAAABHAAAAAA,0.00,13159235.66,-7734794.29
catalog channel,catalog_pageAAAAAAAABHBAAAAA,0.00,13396132.65,-7825600.20
catalog channel,catalog_pageAAAAAAAABHCAAAAA,527572815.33,4472977.30,-58125514.03
catalog channel,catalog_pageAAAAAAAABHDAAAAA,264017676.92,1601745.45,-28462788.91
catalog channel,catalog_pageAAAAAAAABHEAAAAA,0.00,1061593.44,-596874.39
catalog channel,catalog_pageAAAAAAAABHFAAAAA,0.00,947287.18,-567898.68
catalog channel,catalog_pageAAAAAAAABHGAAAAA,0.00,937270.95,-569182.38
catalog channel,catalog_pageAAAAAAAABHHAAAAA,0.00,678957.28,-379753.73
catalog channel,catalog_pageAAAAAAAABHIAAAAA,0.00,667881.16,-359884.20
catalog channel,catalog_pageAAAAAAAABHJAAAAA,0.00,434752.94,-233838.47
catalog channel,catalog_pageAAAAAAAABHKAAAAA,265366946.59,78026.22,-25985575.40
catalog channel,catalog_pageAAAAAAAABHLAAAAA,266557317.42,87316.68,-27174557.95
catalog channel,catalog_pageAAAAAAAABIAAAAAA,0.00,13505508.52,-7861281.49
catalog channel,catalog_pageAAAAAAAABIBAAAAA,531592153.10,4658452.75,-55766093.13
catalog channel,catalog_pageAAAAAAAABICAAAAA,531645247.15,4564728.51,-55571735.08
catalog channel,catalog_pageAAAAAAAABIDAAAAA,266370087.50,1630079.08,-28578066.38
catalog channel,catalog_pageAAAAAAAABIEAAAAA,0.00,1069274.36,-603582.10
catalog channel,catalog_pageAAAAAAAABIFAAAAA,0.00,922463.86,-575721.29
catalog channel,catalog_pageAAAAAAAABIGAAAAA,0.00,962031.24,-561303.88
catalog channel,catalog_pageAAAAAAAABIHAAAAA,0.00,604183.68,-382965.76
catalog channel,catalog_pageAAAAAAAABIIAAAAA,0.00,708119.98,-407383.55
catalog channel,catalog_pageAAAAAAAABIJAAAAA,0.00,311580.95,-209169.11
catalog channel,catalog_pageAAAAAAAABIKAAAAA,266403380.12,97624.64,-26753684.50
catalog channel,catalog_pageAAAAAAAABILAAAAA,263950208.66,117024.87,-26456590.01
catalog channel,catalog_pageAAAAAAAABJAAAAAA,0.00,13675865.23,-7943499.12
catalog channel,catalog_pageAAAAAAAABJBAAAAA,530331092.86,4493093.69,-57150626.51
catalog channel,catalog_pageAAAAAAAABJCAAAAA,529818585.67,4296511.60,-57070387.00
catalog channel,catalog_pageAAAAAAAABJDAAAAA,266516203.12,1516568.42,-26549445.89
catalog channel,catalog_pageAAAAAAAABJEAAAAA,0.00,1034891.71,-619656.02
catalog channel,catalog_pageAAAAAAAABJFAAAAA,0.00,952218.85,-573006.13
catalog channel,catalog_pageAAAAAAAABJGAAAAA,0.00,1016046.58,-568374.30
catalog channel,catalog_pageAAAAAAAABJHAAAAA,0.00,612029.44,-365111.07
catalog channel,catalog_pageAAAAAAAABJIAAAAA,0.00,628065.36,-383014.87
catalog channel,catalog_pageAAAAAAAABJJAAAAA,0.00,421009.64,-232365.86
catalog channel,catalog_pageAAAAAAAABJKAAAAA,267997195.13,63990.87,-26582638.79
catalog channel,catalog_pageAAAAAAAABKAAAAAA,0.00,13261240.56,-7733378.35
catalog channel,catalog_pageAAAAAAAABKBAAAAA,534691012.59,4441960.62,-55366436.87
catalog channel,catalog_pageAAAAAAAABKCAAAAA,528443202.95,4479710.38,-56713518.46
catalog channel,catalog_pageAAAAAAAABKDAAAAA,267773870.87,1626386.31,-26315469.52
