headline,reviewBody
It’s my partners birthday and I phoned…,It’s my partners birthday and I phoned the Hyatt regency Birmingham to ask if the pool is available . But I’m very disappointed to hear that each family or person is only allowed 45 minutes in the day to swim . This very small amount of time and with the increase of room prices makes Hyatt even less appealing . We have been staying at this hotel for years now with my family and sometimes booking 3 days in a row . Please I request the manager to change the rules for swimming like an hour per turn and then there’s a swap but you can have another turn later if there is space in the pool . As the pool is the main reason we use to book the hotel especially in the summer months .
Rude and bad service at  Hyatt in orange county on…,I stay in the Hyatt in orange county on Harbor Street service was very bad it was dirty  and the manager was very rude I asked for my room to be clean was never clean they never gave me an explanation why they didn’t clean it  customer service was really bad and rude I don’t know how they get away with it but they charge top dollar
very niceeeee,very niceeeee
Not allowed to return to fully paid room,I went on a business trip to Boulder. My company paid for my stay in Hyatt Place Boulder / Pearl Street. I decided to return one day earlier and notified the concierge. My flight was delayed. When I tried to return to my paid room they say I can’t and they need a manager to allow me to return to my fully paid room. The manager obviously was not there because it was night. Hyatt dead for me now.
Always stay here for oustanding quality…,Always stay here for oustanding quality and hospitality.
Receptionist,They were very friedly at hayatt palace and helping hand for all travellers
RUDE!! Please don't waste time\\money with this hotel,Hyatt Place Downtown\\loop located at 28 N Franklin Chicago IL. 60606 312-955-0950. The staff at this location was EXTREMELY rude & UNHELPFUL. This is a SELF-service hotel. First they will only clean your room every 4 days (I see Covid is NOT a factor). Second if you need additional towels the staff ask you to come to front desk (COVID NO social distancing) but of course GREED rules the world. Please do NOT waste your time nor money at this location. Still waiting on return calls from the GM & Hyatt corporate office (4 days AFTER my stay).
Park Hyatt Dubai is stunning and highly…,Park Hyatt Dubai is stunning and highly recommended. The gardens and pool area plus the villas are one of the best 5 star experiences you’ll ever have.  Superb.
I stayed for three nights at the Hyatt London Heathrow…superb experience.,I stayed for three nights at the Hyatt Hotel at Heathrow Airport in early October 2020.  Was allowed to check in at 7.30am.  (Hyatt Hotel at Hayes wanted to charge me an extra night for this privilege so there is some inconsistency in practice.)After having spent three years in northern Iraq ('Kurdistan') the comfort of the bed was delightful.  Overall a very smooth and efficient operation.  Room superb (standard room) food very good and convenient short free bus service to Heathrow Airport to do shopping.  (This service is not provided by Hyatt but by London Transport but the bus stop is just outside the hotel.)
I have been staying at the Hyatt… and I wanted to tell everyone about Danyelle,polite and knowledgeable. She is a problem solver.  When she talks to me she treats me with respect and makes our encounter's positive.  I am thankful that she works at the Hyatt. She has impacted my stay in a very positive way.  Thank you Danyelle
Hyatt is the best place I have ever…,Hyatt is the best place I have ever slept the beds are comfy the TV is huge and the room is huge to the bathroom is a great space to it also comes with a great mirror thank you
It is very very clean,The hotel is very very clean and neat
Hayatt is a scam,The hayatt hotel is very corrupt and looks very dirty
